# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	9469
#@/user_id	cd7a444b-bd10-4f36-b2f9-43f3afd34724
biao3 shi4 	表示	c=1 d=0.790571 t=9469
bie2 	別	c=5 d=1.50481 t=9469
bie2 de5 	別的	c=2 d=0.236928 t=9469
bie2 guan3 	別管	c=1 d=0.594521 t=9469
bie2 qu4 	別去	c=1 d=0.609571 t=9469
bie2 ren2 	別人	c=3 d=1.42468 t=9469
bie2 shuo1 	別說	c=1 d=0.786628 t=9469
bie2 yong4 	別用	c=1 d=0.579842 t=9469
bie2 zai4 	別再	c=3 d=1.1705 t=9469
bing1 kuai4 	冰塊	c=1 d=0.516851 t=9469
bing1 shuang1 	冰霜	c=1 d=0.0593087 t=9469
bing3 	餅	c=1 d=0.694197 t=9469
bing4 	並	c=1 d=0.621885 t=9469
bing4 	併	c=1 d=0.647265 t=9469
bing4 bu4 shi4 	並不是	c=1 d=0.0639279 t=9469
bing4 mei2 you3 	並沒有	c=1 d=0.818731 t=9469
bo1 	波	c=1 d=0.07502 t=9469
bo1 li2 ping2 	玻璃瓶	c=1 d=0.65377 t=9469
bo2 	勃	c=1 d=0.752014 t=9469
bo2 	薄	c=1 d=0.683861 t=9469
bo2 jue2 	伯爵	c=1 d=0.188247 t=9469
bo2 ru2 	伯儒	c=4 d=0.824504 t=9469
bu2 dang4 	不當	c=1 d=0.594521 t=9469
bu2 hui4 	不會	c=27 d=4.06136 t=9469
bu2 shi4 	不是	c=35 d=5.43921 t=9469
bu2 yao4 	不要	c=10 d=3.2425 t=9469
bu2 zheng4 chang2 	不正常	c=1 d=0.657047 t=9469
bu3 	補	c=5 d=1.89886 t=9469
bu3 ban4 	補辦	c=1 d=0.548812 t=9469
bu4 	不	c=17 d=4.33352 t=9469
bu4 bu4 	不不	c=0 d=0.0937067 t=9469
bu4 bu4 bu4 	不不不	c=1 d=0.941765 t=9469
bu4 chang2 jian4 	不常見	c=1 d=0.519442 t=9469
bu4 cuo4 	不錯	c=3 d=0.538848 t=9469
bu4 da3 	不打	c=1 d=0.107528 t=9469
bu4 dai4 biao3 	不代表	c=1 d=0.313486 t=9469
bu4 dao4 	不到	c=1 d=1 t=9420
bu4 diao4 	不掉	c=1 d=0.637628 t=9469
bu4 dong3 	不懂	c=1 d=0.790571 t=9469
bu4 duan4 	不斷	c=1 d=0.737123 t=9469
bu4 dui4 	不對	c=1 d=0.733447 t=9469
bu4 fen4 	部分	c=4 d=1.91961 t=9469
bu4 gan3 	不敢	c=1 d=0.440432 t=9469
bu4 gou4 	不夠	c=3 d=1.07965 t=9469
bu4 hao3 wan2 	不好玩	c=2 d=1.08322 t=9469
bu4 hao4 	不耗	c=2 d=0.657047 t=9469
bu4 hui4 fei1 	不會飛	c=1 d=0.410656 t=9469
bu4 hui4 zai4 	不會在	c=1 d=0.810584 t=9469
bu4 jia1 	不加	c=2 d=0.94344 t=9469
bu4 jian4 	部件	c=4 d=2.06473 t=9469
bu4 jian4 le5 	不見了	c=1 d=0.169483 t=9469
bu4 jiao1 	不交	c=1 d=0.71177 t=9469
bu4 jiu4 	不就	c=4 d=1.43693 t=9469
bu4 jiu4 shi4 	不就是	c=1 d=0.506617 t=9469
bu4 kai1 fang4 	不開放	c=1 d=0.431711 t=9469
bu4 ke3 	不可	c=1 d=0.0913686 t=9469
bu4 ke3 neng2 	不可能	c=2 d=0.811748 t=9469
bu4 ke3 po4 huai4 	不可破壞	c=1 d=0.0850088 t=9469
bu4 lai2 	不來	c=1 d=0.831104 t=9469
bu4 liao3 	不了	c=2 d=1.23288 t=9469
bu4 liao4 	布料	c=2 d=0.0591996 t=9469
bu4 neng2 	不能	c=8 d=2.59472 t=9469
bu4 pa4 si3 	不怕死	c=1 d=0.99005 t=9469
bu4 qi2 	不騎	c=1 d=0.790571 t=9469
bu4 qu4 	不去	c=2 d=1.4236 t=9469
bu4 que4 ding4 	不確定	c=1 d=0.985112 t=9469
bu4 shua1 le5 	不刷了	c=1 d=0.985112 t=9469
bu4 shuang3 	不爽	c=1 d=0.822835 t=9469
bu4 shuo1 	不說	c=1 d=0.701173 t=9469
bu4 suan4 	不算	c=4 d=2.08932 t=9469
bu4 tai4 	不太	c=2 d=0.907369 t=9469
bu4 tong2 	不同	c=3 d=1.62523 t=9469
bu4 wei4 	部位	c=1 d=0.0227089 t=9469
bu4 xiang3 	不想	c=3 d=1.18104 t=9469
bu4 xiao3 xin1 	不小心	c=2 d=0.740818 t=9469
bu4 xin4 	不信	c=1 d=1 t=9469
bu4 xing2 	不行	c=8 d=2.46448 t=9469
bu4 xu1 yao1 	不需要	c=2 d=1.33762 t=9469
bu4 yi1 yang4 	不一樣	c=2 d=1.03951 t=9469
